Date,Open,High,Low,Close,Adj Close,Volume
2000-09-01,277.000000,278.399994,269.000000,273.600006,273.600006,4291
2000-10-01,272.799988,276.399994,264.299988,264.899994,264.899994,321
2000-11-01,263.899994,270.200012,263.899994,270.100006,270.100006,32465
2000-12-01,269.700012,276.000000,268.000000,272.000000,272.000000,1664
2001-01-01,268.399994,268.399994,262.799988,265.600006,265.600006,17811
2001-02-01,266.299988,268.899994,255.000000,266.799988,266.799988,1066
2001-03-01,265.200012,271.600006,256.600006,257.899994,257.899994,31161
2001-04-01,257.200012,265.299988,255.000000,264.000000,264.000000,1733
2001-05-01,264.399994,287.399994,264.200012,265.299988,265.299988,32850
2001-06-01,264.700012,277.000000,264.500000,270.600006,270.600006,1350
2001-07-01,269.399994,270.399994,263.700012,266.200012,266.200012,20322
2001-08-01,266.200012,279.299988,265.799988,274.399994,274.399994,1817
2001-09-01,271.600006,294.000000,271.600006,292.399994,292.399994,3137
2001-10-01,291.799988,292.899994,275.500000,279.500000,279.500000,893
2001-11-01,279.700012,281.000000,272.299988,273.899994,273.899994,27949
2001-12-01,273.500000,281.299988,271.200012,278.700012,278.700012,2157
2002-01-01,278.899994,287.399994,278.100006,282.100006,282.100006,28613
2002-02-01,282.299988,308.000000,282.200012,296.700012,296.700012,3964
2002-03-01,298.000000,304.500000,289.899994,302.600006,302.600006,29465
2002-04-01,302.600006,312.500000,297.500000,308.899994,308.899994,2226
2002-05-01,309.100006,329.000000,306.799988,326.500000,326.500000,29743
2002-06-01,326.600006,330.299988,313.500000,313.500000,313.500000,5817
2002-07-01,314.000000,323.899994,300.799988,303.200012,303.200012,28530
2002-08-01,303.200012,318.000000,298.000000,312.399994,312.399994,3256
2002-09-01,312.500000,325.899994,312.500000,323.899994,323.899994,4400
2002-10-01,322.000000,322.899994,309.799988,318.000000,318.000000,3849
2002-11-01,318.799988,324.500000,316.500000,316.799988,316.799988,54551
2002-12-01,318.100006,350.500000,315.500000,347.600006,347.600006,4453
2003-01-01,346.100006,372.000000,345.200012,368.299988,368.299988,8298
2003-02-01,368.000000,388.899994,342.000000,350.200012,350.200012,6928
2003-03-01,349.200012,356.799988,326.000000,335.899994,335.899994,6100
2003-04-01,336.000000,338.399994,319.299988,339.100006,339.100006,3097
2003-05-01,339.000000,370.000000,339.000000,364.500000,364.500000,164025
2003-06-01,360.000000,370.000000,343.399994,346.000000,346.000000,10422
2003-07-01,351.399994,364.799988,342.100006,354.000000,354.000000,86330
2003-08-01,354.100006,375.000000,346.000000,375.700012,375.700012,5743
2003-09-01,375.000000,388.700012,372.899994,385.399994,385.399994,16207
2003-10-01,385.500000,394.000000,368.000000,384.500000,384.500000,3594
2003-11-01,382.799988,402.000000,377.000000,396.799988,396.799988,165003
2003-12-01,397.200012,417.200012,397.000000,415.700012,415.700012,10267
2004-01-01,415.700012,428.200012,396.500000,402.200012,402.200012,132663
2004-02-01,403.000000,416.000000,394.000000,396.399994,396.399994,5931
2004-03-01,396.399994,428.000000,391.100006,427.299988,427.299988,105746
2004-04-01,427.200012,432.000000,380.000000,387.000000,387.000000,6579
2004-05-01,387.000000,396.299988,375.799988,394.000000,394.000000,144835
2004-06-01,393.899994,405.000000,383.000000,392.600006,392.600006,6207
2004-07-01,396.000000,408.100006,385.000000,391.000000,391.000000,116575
2004-08-01,394.000000,412.799988,388.799988,410.399994,410.399994,6340
2004-09-01,407.299988,418.799988,396.799988,418.700012,418.700012,16144
2004-10-01,419.100006,430.000000,410.299988,428.500000,428.500000,2646
2004-11-01,427.299988,454.799988,424.600006,451.299988,451.299988,183608
2004-12-01,451.600006,456.500000,432.600006,437.500000,437.500000,12728
2005-01-01,431.000000,431.000000,418.700012,421.799988,421.799988,115342
2005-02-01,422.200012,436.000000,410.100006,436.500000,436.500000,8468
2005-03-01,435.000000,446.399994,424.700012,428.700012,428.700012,3171
2005-04-01,428.299988,438.200012,422.700012,435.000000,435.000000,2579
2005-05-01,429.500000,429.799988,413.200012,416.299988,416.299988,131509
2005-06-01,416.399994,442.500000,414.000000,435.899994,435.899994,6950
2005-07-01,427.799988,430.500000,419.600006,429.899994,429.899994,44574
2005-08-01,430.000000,449.500000,429.100006,433.799988,433.799988,3085
2005-09-01,438.500000,474.000000,438.500000,469.000000,469.000000,11805
2005-10-01,467.799988,478.500000,460.500000,465.100006,465.100006,2106
2005-11-01,463.000000,502.299988,455.299988,494.600006,494.600006,157642
2005-12-01,494.200012,538.500000,490.100006,517.099976,517.099976,12240
2006-01-01,518.599976,572.700012,518.599976,570.799988,570.799988,121984
2006-02-01,570.799988,575.299988,535.500000,561.599976,561.599976,10165
2006-03-01,562.500000,589.599976,539.900024,581.799988,581.799988,94801
2006-04-01,582.000000,651.799988,582.000000,651.799988,651.799988,8121
2006-05-01,658.000000,723.000000,637.000000,642.500000,642.500000,137161
2006-06-01,642.799988,645.099976,555.000000,613.500000,613.500000,6197
2006-07-01,631.000000,677.000000,612.700012,634.200012,634.200012,99344
2006-08-01,635.400024,656.000000,609.000000,625.900024,625.900024,4608
2006-09-01,624.400024,638.500000,576.400024,598.599976,598.599976,17592
2006-10-01,598.900024,608.900024,560.500000,604.099976,604.099976,6239
2006-11-01,612.500000,648.000000,612.500000,646.900024,646.900024,114115
2006-12-01,645.700012,649.700012,612.000000,635.200012,635.200012,3823
2007-01-01,635.200012,655.500000,607.000000,652.000000,652.000000,101525
2007-02-01,652.900024,687.700012,642.000000,669.400024,669.400024,3981
2007-03-01,673.000000,673.000000,640.000000,663.000000,663.000000,52996
2007-04-01,665.500000,692.500000,656.099976,680.500000,680.500000,4436
2007-05-01,673.700012,688.000000,651.000000,661.000000,661.000000,158741
2007-06-01,661.500000,674.000000,640.000000,648.099976,648.099976,4027
2007-07-01,656.799988,684.200012,648.400024,666.900024,666.900024,138110
2007-08-01,663.200012,676.200012,642.900024,673.000000,673.000000,8547
2007-09-01,672.500000,745.700012,672.500000,742.799988,742.799988,27393
2007-10-01,745.099976,795.400024,724.299988,792.000000,792.000000,2720
2007-11-01,785.299988,841.299988,777.599976,782.200012,782.200012,239351
2007-12-01,783.900024,843.200012,777.000000,834.900024,834.900024,7681
2008-01-01,848.700012,936.299988,846.400024,922.700012,922.700012,231851
2008-02-01,924.799988,973.099976,884.700012,972.099976,972.099976,8233
2008-03-01,984.200012,1014.599976,912.000000,916.200012,916.200012,216432
2008-04-01,915.000000,948.700012,863.000000,862.799988,862.799988,13006
2008-05-01,855.000000,925.599976,849.599976,887.299988,887.299988,221797
2008-06-01,887.299988,933.700012,858.200012,926.200012,926.200012,9462
2008-07-01,943.599976,986.200012,893.299988,913.900024,913.900024,250610
2008-08-01,904.900024,916.099976,780.900024,829.299988,829.299988,9253
2008-09-01,829.900024,919.000000,739.000000,874.200012,874.200012,18800
2008-10-01,878.000000,925.700012,681.000000,716.799988,716.799988,3365
2008-11-01,728.799988,824.000000,707.000000,816.200012,816.200012,377779
2008-12-01,817.200012,883.599976,740.000000,883.599976,883.599976,9599
2009-01-01,881.500000,930.299988,805.599976,927.299988,927.299988,215420
2009-02-01,924.299988,1004.900024,889.799988,941.500000,941.500000,14216
2009-03-01,945.000000,963.200012,885.000000,922.599976,922.599976,178292
2009-04-01,918.599976,932.500000,865.000000,890.700012,890.700012,17300
2009-05-01,884.000000,980.400024,881.500000,978.799988,978.799988,234559
2009-06-01,978.799988,990.299988,917.299988,927.099976,927.099976,12773
2009-07-01,929.299988,958.099976,905.599976,953.700012,953.700012,177420
2009-08-01,952.599976,971.099976,931.500000,951.700012,951.700012,7492
2009-09-01,954.200012,1019.799988,948.700012,1008.000000,1008.000000,15642
2009-10-01,1007.400024,1070.199951,986.799988,1039.699951,1039.699951,3699
2009-11-01,1053.400024,1195.000000,1043.500000,1181.099976,1181.099976,333290
2009-12-01,1181.000000,1226.400024,1075.000000,1095.199951,1095.199951,24177
2010-01-01,1117.699951,1161.199951,1073.199951,1083.000000,1083.000000,320664
2010-02-01,1081.000000,1127.400024,1045.199951,1118.300049,1118.300049,18209
2010-03-01,1119.300049,1145.000000,1085.500000,1113.300049,1113.300049,222583
2010-04-01,1125.099976,1181.300049,1111.300049,1180.099976,1180.099976,10917
2010-05-01,1178.599976,1246.500000,1159.199951,1212.199951,1212.199951,361661
2010-06-01,1224.800049,1264.800049,1196.900024,1245.500000,1245.500000,16703
2010-07-01,1206.300049,1242.400024,1158.000000,1181.699951,1181.699951,267525
2010-08-01,1183.400024,1249.400024,1174.699951,1248.300049,1248.300049,9250
2010-09-01,1246.300049,1315.199951,1240.000000,1307.800049,1307.800049,33200
2010-10-01,1309.000000,1383.900024,1309.000000,1357.099976,1357.099976,3190
2010-11-01,1360.300049,1423.199951,1327.500000,1385.000000,1385.000000,245327
2010-12-01,1386.800049,1431.099976,1362.500000,1421.099976,1421.099976,16511
2011-01-01,1415.599976,1423.900024,1307.699951,1333.800049,1333.800049,299379
2011-02-01,1333.099976,1415.699951,1324.900024,1409.300049,1409.300049,14468
2011-03-01,1415.300049,1446.900024,1385.500000,1438.900024,1438.900024,194338
2011-04-01,1433.400024,1568.699951,1413.000000,1556.000000,1556.000000,15801
2011-05-01,1572.900024,1576.599976,1471.000000,1535.900024,1535.900024,271249
2011-06-01,1535.699951,1558.500000,1490.699951,1502.300049,1502.300049,15027
2011-07-01,1502.199951,1634.900024,1480.000000,1628.300049,1628.300049,309932
2011-08-01,1623.000000,1909.300049,1607.000000,1828.500000,1828.500000,25647
2011-09-01,1825.800049,1911.599976,1562.400024,1620.400024,1620.400024,31848
2011-10-01,1627.800049,1752.000000,1596.599976,1724.199951,1724.199951,2715
2011-11-01,1706.699951,1798.400024,1674.400024,1745.500000,1745.500000,257009
2011-12-01,1747.000000,1762.900024,1525.000000,1565.800049,1565.800049,11311
2012-01-01,1568.900024,1747.699951,1566.000000,1737.800049,1737.800049,237708
2012-02-01,1738.199951,1790.400024,1669.000000,1709.900024,1709.900024,9587
2012-03-01,1698.599976,1724.599976,1633.800049,1669.300049,1669.300049,254540
2012-04-01,1670.400024,1682.800049,1612.300049,1663.400024,1663.400024,9743
2012-05-01,1665.000000,1670.500000,1528.500000,1562.599976,1562.599976,345507
2012-06-01,1560.000000,1639.699951,1545.500000,1603.500000,1603.500000,11162
2012-07-01,1597.099976,1627.500000,1557.199951,1610.500000,1610.500000,257528
2012-08-01,1613.400024,1690.000000,1583.099976,1684.599976,1684.599976,11783
2012-09-01,1689.099976,1785.300049,1687.699951,1771.099976,1771.099976,25557
2012-10-01,1766.000000,1794.800049,1698.599976,1717.500000,1717.500000,2741
2012-11-01,1722.300049,1751.300049,1674.099976,1710.900024,1710.900024,345777
2012-12-01,1714.900024,1722.300049,1635.800049,1674.800049,1674.800049,7061
2013-01-01,1672.800049,1694.699951,1625.699951,1660.599976,1660.599976,197723
2013-02-01,1663.900024,1683.400024,1555.199951,1577.699951,1577.699951,11784
2013-03-01,1579.599976,1613.800049,1561.800049,1594.800049,1594.800049,223847
2013-04-01,1596.800049,1602.599976,1323.000000,1472.199951,1472.199951,14648
2013-05-01,1475.800049,1487.099976,1342.900024,1392.599976,1392.599976,222108
2013-06-01,1389.099976,1422.699951,1183.199951,1223.800049,1223.800049,12739
2013-07-01,1234.699951,1343.500000,1208.900024,1312.400024,1312.400024,186170
2013-08-01,1323.000000,1428.000000,1274.000000,1396.099976,1396.099976,10507
2013-09-01,1393.000000,1414.400024,1292.099976,1326.500000,1326.500000,17759
2013-10-01,1328.000000,1359.699951,1254.099976,1323.599976,1323.599976,2723
2013-11-01,1325.699951,1325.699951,1229.000000,1250.599976,1250.599976,270667
2013-12-01,1251.400024,1267.000000,1182.000000,1201.900024,1201.900024,14554
2014-01-01,1204.300049,1269.400024,1204.300049,1240.099976,1240.099976,189701
2014-02-01,1242.400024,1343.900024,1241.199951,1321.400024,1321.400024,11943
2014-03-01,1335.900024,1391.400024,1282.400024,1283.400024,1283.400024,255794
2014-04-01,1285.099976,1330.000000,1272.400024,1295.599976,1295.599976,8265
2014-05-01,1288.699951,1314.199951,1241.800049,1245.599976,1245.599976,211143
2014-06-01,1250.000000,1328.699951,1240.500000,1321.800049,1321.800049,10619
2014-07-01,1326.699951,1343.699951,1280.599976,1281.300049,1281.300049,224607
2014-08-01,1284.099976,1321.400024,1272.000000,1285.800049,1285.800049,9633
2014-09-01,1284.500000,1286.400024,1204.000000,1210.500000,1210.500000,27705
2014-10-01,1207.699951,1251.000000,1161.400024,1171.099976,1171.099976,4510
2014-11-01,1166.400024,1202.400024,1133.000000,1175.199951,1175.199951,299410
2014-12-01,1160.000000,1238.000000,1141.699951,1183.900024,1183.900024,11140
2015-01-01,1184.000000,1303.500000,1169.500000,1278.500000,1278.500000,258615
2015-02-01,1284.099976,1284.699951,1191.599976,1212.599976,1212.599976,8294
2015-03-01,1214.300049,1222.699951,1144.300049,1183.099976,1183.099976,215205
2015-04-01,1182.900024,1224.199951,1174.599976,1182.400024,1182.400024,7838
2015-05-01,1178.099976,1228.099976,1170.000000,1189.400024,1189.400024,258123
